obs,中文名,英文名,评分,评价数,近期售出数,价格,种类,葡萄品种,年份,COO原产地,级别,酒精度,容量,香味分类,色泽,酒体,口感分类,建议醒酒时间,搭配菜肴,品鉴,商品ID
632,"
								艾拉贝拉品乐干红葡萄酒",Arabella Pinotage,"
												100%
										",0,近期售出数 981,59,"
											红葡萄酒 干红","
											100%品乐(Pinotage)",  ,"
											南非(South Africa) 西开普产地(Western Cape)",  ,"
											14.0%","
											750毫升","
											摩卡、黑醋栗、西梅、香蕉、蓝莓和辛香","
											宝石红色","
											重","
											辛辣","
											10-20分钟","
											红肉、烧烤",  ,6235630
633,"
								雪鹿山谷红葡萄酒-6支装",  ,"
												100%
										",90,近期售出数 734,316,"
																红葡萄酒 干红","
																80%西拉/设拉子(Syrah/Shiraz),20%慕尔怀特(Mourvedre)","
																0000","
																法国(France) 罗纳河谷(Rhone Valley)","
																AOP","
																13.50%","
																750ml","
																草莓芳香","
																宝石红","
																中","
																圆润","
																布鲁塞尔银奖","
																各种风味肉类及奶酪","
																无",6202584
634,"
								 【名庄】莱斯古堡贵腐2010（又名丽丝白）",Chateau Rieussec 2010,"
												90%
										",6,近期售出数 184,529,"
											白葡萄酒 甜白","
											90%赛美蓉(Semillon),7%长相思(Sauvignon Blanc),3%穆斯卡黛尔(Muscadelle)","
											2010","
											法国(France) 波尔多(Bordeaux)","
											苏玳一级庄","
											14.0%","
											750ml","
											柑橘、蜂蜜","
											金黄色","
											中高","
											饱满","
											1个小时","
											甜点、水果","
											18-24个月",6204082
635,"
								蒙大菲木桥仙粉黛干红葡萄酒",  ,"
												100%
										",0,近期售出数 926,139,"
											其他 其他",  ,  ,"
											其他 其他",  ,  ,  ,  ,  ,  ,"
											清雅",  ,  ,  ,6220230
636,"
								西班牙希卡斯有机干红葡萄酒",Organic Cirkus   ,"
												100%
										",0,近期售出数 750,59,"
											红葡萄酒 干红","
											丹魄、歌海娜",  ,"
											西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)",  ,"
											13%vol","
											750毫升","
											红色水果","
											樱桃红色","
											中","
											圆润","
											10-20分钟",  ,  ,6234540
637,"
								火地岛经典系列-3支品鉴（赤霞珠+梅洛+长相思）",  ,"
												100%
										",0,近期售出数 34,177,"
																白葡萄酒 干白","
																100%长相思(Sauvignon Blanc)","
																0000","
																智利(Chile) 中央山谷(Central Valley)","
																智利优质酒庄","
																13.5%","
																750ml","
																草本花香，热带水果的香气果，如西柚的微妙香气","
																柔和的浅黄红","
																中","
																清爽","
																即开即饮","
																鱼或者海鲜类食物","
																无",6235292
638,"
								圣母之乳半甜白葡萄酒-6支装",  ,"
												100%
										",1,近期售出数 74,199,"
																白葡萄酒 半甜白","
																希尔瓦那(Sylvaner),米勒图高(Muller-Thurgau),雷司令(Riesling)",  ,"
																德国(Germany) 莱茵黑森(Rheinhessen)",  ,"
																10%vol","
																750ml","
																有桃子、柑橘、青苹果的芬芳","
																黄绿色","
																中低","
																清雅",  ,"
																沙拉、甜品、海鲜等清淡型食物","
																无",6233325
639,"
								奔富BIN2西拉马塔罗干红葡萄酒  双支装 750ml*2",Penfolds Bin 2 Shiraz Mataro,"
												100%
										",0,近期售出数 383,315,"
																红葡萄酒 干红","
																设拉子(Shiraz)，马塔罗（Mataro）",  ,"
																澳大利亚(Australia) 南澳(South Australia)",  ,"
																0.145","
																750ml","
																樱桃","
																宝石红","
																中高","
																饱满","
																30分钟","
																红肉类食物","
																无",6230842
640,"
								卡葡卡黑比诺干红葡萄酒",Kapuka Pinot Noir,"
												80%
										",19,近期售出数 652,232,"
											红葡萄酒 干红","
											黑比诺（Pinot Noir)","
											2011","
											新西兰(New Zealand) 马尔堡(Marlborough)",  ,  ,"
											750ml","
											樱桃，桑子和草莓","
											深红色","
											中高","
											圆润","
											30分钟","
											烤肉，芝士","
											12-18个月",6208220
641,"
								黄尾袋鼠梅洛红葡萄酒6只装",  ,"
												90%
										",20,近期售出数 519,256,"
																红葡萄酒 半干红","
																100%梅洛(Merlot)","
																0000","
																澳大利亚(Australia) 新南威尔士(New South Wales)","
																澳大利亚优质酒庄","
																13.5%","
																750ml","
																莓子 香料 ","
																宝石红","
																中高","
																圆润","
																40分钟","
																肉类料理如烤肉",  ,6229282
642,"
								【名庄】巴黎之花香槟",Perrier Jouet Grand Brut ,"
												90%
										",30,近期售出数 2266,459,"
											起泡酒 干香槟","
											莎当妮(Chardonnay)、黑比诺(Pinot Noir)、莫尼耶皮诺(Piont Meunier)","
											0000","
											法国(France) 香槟(Champagne)",  ,"
											12.0%","
											750ml","
											鼻子轻嗅，会闻到辛辣芳香的气味，这表示酒质成熟。它们散发出成熟的樱桃及凤梨果味，释出蜂蜜和花香，这都赋予了酒液新鲜细致的质感。","
											色泽金黄，清澈明亮","
											中","
											圆润","
											即开即饮","
											适合在餐前或餐后单独饮用","
											6个月",6208306
643,"
								骑士城堡干红葡萄酒",Chateau La Commanderie de Queyret,"
												40%
										",1,近期售出数 6451,99,"
											红葡萄酒 干红","
											70%梅乐（Merlot）、20%赤霞珠（Cabernet Sauvignon）、10%品丽珠（cabernet franc）","
											2010","
											法国(France) 波尔多(Bordeaux)","
											波尔多AOC","
											14%","
											750ml","
											红色水果、香料","
											宝石红","
											中高","
											圆润","
											里昂金奖","
											红肉类食物、芝士",  ,5174764
644,"
								武弗雷特酿白诗南起泡葡萄酒",Tete de Cuvee Chenin Blanc,"
												100%
										",3,近期售出数 369,288,"
											起泡酒 干起泡酒","
											100%白诗南(Chenin Blanc)",  ,"
											法国(France) 卢瓦尔河谷(Loire Valley)","
											武弗雷 AOP","
											12.50%","
											750ml","
											烤杏仁，干果，水蜜桃","
											柠檬黄","
											中","
											清爽","
											即开即饮","
											蒸鱼，意面，海鲜",  ,6215152
645,"
								劳伦米格尔父子系列西拉干红",  ,"
												100%
										",0,近期售出数 55,169,"
											红葡萄酒 干红","
											西拉",  ,"
											法国(France) 朗格多克鲁西荣(Languedoc Roussillon)",  ,"
											13.5%","
											750","
											甜美的李子和黑莓、樱桃","
											紫红色","
											中","
											圆润","
											30分钟","
											烤羊肉烤牛肉","
											6个月",6235952
646,"
								圣特庄园干红葡萄酒",Closerie Saint Vincent Grand Pavillon Bordeaux,"
												90%
										",25,近期售出数 7281,288,"
											红葡萄酒 干红","
											赤霞珠(Cabernet Sauvignon),美乐(Merlot)",  ,"
											法国(France) 波尔多(Bordeaux)","
											AOC","
											13.0%","
											750ml","
											红果香","
											宝石红","
											中","
											圆润","
											15分钟","
											牛排，芝士，烤鸡等","
											无",6212771
647,"
								*蓝先锋白葡萄酒*",Moselland Avantgarde Blue,"
												90%
										",150,近期售出数 14223,598,"
											白葡萄酒 半甜白","
											100%雷司令(Riesling)","
											0000","
											德国(Germany) 莱茵黑森(Rheinhessen)","
											QbA","
											8.5%","
											750ml","
											蜜桃、柠檬、蜂蜜","
											柠檬黄","
											中","
											清爽","
											即开即饮","
											海鲜、开胃菜、沙拉",  ,5183379
648,"
								帝力莫斯卡托起泡配制酒",DILE MOSCATO,"
												100%
										",4,近期售出数 548,79,"
											其他 其他","
											100%莫斯卡托(Moscato)",  ,"
											意大利(Italy) 皮埃蒙特(Piemonte)","
											意大利优质酒庄","
											0.05","
											750ml",  ,"
											浅黄","
											轻","
											清爽","
											即开即饮","
											糕点","
											无",6230944
649,"
								（国内提货）拉图马蒂亚克城堡干红葡萄酒2017期酒",Latour Martillac,"
												100%
										",0,近期售出数 28,335,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,"
											中高","
											饱满",  ,  ,  ,6238357
650,"
								佳美妃圣文森隆河谷干红葡萄酒",Gabriel Meffre Saint Vincent Cotes du Rhone,"
												90%
										",2,近期售出数 300,99,"
											红葡萄酒 干红","
											歌海娜、西拉、神索",  ,"
											法国(France) 罗纳河谷(Rhone Valley)","
											AOC","
											13.0%","
											750ml",  ,  ,  ,"
											清雅",  ,  ,  ,6225252
651,"
								福埃戈干红葡萄酒",Garnacha de Fuego,"
												100%
										",116,近期售出数 3447,109,"
											红葡萄酒 干红","
											100%歌海娜(Grenache/Granacha)","
											2012","
											西班牙(Spain) 阿拉贡(Aragon)","
											西班牙VDT","
											14.5%","
											750ml","
											岩石土壤赋予了酒体矿物质味道","
											酒体呈深紫色伴随着黑樱桃果酱的甜蜜吻","
											中高","
											饱满","
											30分钟","
											米饭、肉、蔬菜、固化奶酪","
											6个月",5190484
652,"
								永恒之约特酿干红葡萄酒",Cuvee Les Agapes,"
												80%
										",245,近期售出数 119106,49,"
											红葡萄酒 干红","
											60%赤霞珠(Cabernet Sauvignon)40%梅洛(Merlot)","
											0000","
											法国(France) 波尔多(Bordeaux)","
											日常餐酒V.D.T","
											12.0%","
											750ml","
											黑梅 樱桃等成熟水果的混合香味","
											深紫色","
											中高","
											清雅","
											30分钟","
											清淡的奶酪与肉类菜肴",  ,14460
653,"
								女神醉爱6支装组合（新） ",  ,"
												100%
										",0,近期售出数 864,179,"
																桃红葡萄酒 干型桃红","
																丹魄（Tempranillo）","
																玻璃","
																西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","
																无","
																11%vol","
																750毫升","
																红色梅果芬芳","
																深桃红色","
																中低","
																清雅","
																即开即饮","
																鱼类、白肉、龙虾、牡蛎、奶酪制品等","
																无",6237894
